[Debug] image_index=0, path=/data/personal/nykwak/model_pipeline_dataset/images/202305_f0aac86179b04864ad887e746ffee521.jpg, class_id=5, prob=0.923, bbox=(x=0.29, y=0.62, w=0.04, h=0.03)
[Debug] image_index=0, path=/data/personal/nykwak/model_pipeline_dataset/images/202305_f0aac86179b04864ad887e746ffee521.jpg, class_id=9, prob=0.176, bbox=(x=0.29, y=0.62, w=0.04, h=0.03)
[Debug] image_index=1, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0dd59a997f07410db1579d9d27627912.jpg, class_id=5, prob=0.943, bbox=(x=0.67, y=0.85, w=0.06, h=0.04)
[Debug] image_index=1, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0dd59a997f07410db1579d9d27627912.jpg, class_id=9, prob=0.040, bbox=(x=0.67, y=0.85, w=0.06, h=0.04)
[Debug] image_index=1, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0dd59a997f07410db1579d9d27627912.jpg, class_id=3, prob=0.037, bbox=(x=0.86, y=0.92, w=0.22, h=0.03)
[Debug] image_index=2, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0e5afb458cf343e48b8688746b055479.jpg, class_id=9, prob=0.869, bbox=(x=0.72, y=0.76, w=0.06, h=0.02)
[Debug] image_index=3, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0f61e89a01a641dbab7284f1f88b4ccb.jpg, class_id=5, prob=0.867, bbox=(x=0.56, y=0.89, w=0.03, h=0.02)
[Debug] image_index=3, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_0f61e89a01a641dbab7284f1f88b4ccb.jpg, class_id=9, prob=0.045, bbox=(x=0.56, y=0.89, w=0.03, h=0.02)
[Debug] image_index=4, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_2b38c40050544f63b5bc6e348df5ff62.jpg, class_id=9, prob=0.958, bbox=(x=0.64, y=0.94, w=0.05, h=0.03)
[Debug] image_index=4, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_2b38c40050544f63b5bc6e348df5ff62.jpg, class_id=9, prob=0.935, bbox=(x=0.71, y=0.85, w=0.07, h=0.04)
[Debug] image_index=4, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_2b38c40050544f63b5bc6e348df5ff62.jpg, class_id=9, prob=0.876, bbox=(x=0.55, y=0.93, w=0.05, h=0.03)
[Debug] image_index=4, path=/data/personal/nykwak/model_pipeline_dataset/images/202306_2b38c40050544f63b5bc6e348df5ff62.jpg, class_id=9, prob=0.530, bbox=(x=0.98, y=0.91, w=0.05, h=0.08)
